,p2psockets,p2psockets-core,1.1.2,2005-09-20 05:50     28926,,https://repo1.maven.org/maven2/p2psockets/p2psockets-core/1.1.2/p2psockets-core-1.1.2.jar
,page.foliage,foliage-guava,23.6.1,2023-02-11 06:58   2755374,,https://repo1.maven.org/maven2/page/foliage/foliage-guava/23.6.1/foliage-guava-23.6.1.jar
,page.foliage,foliage-common-oidc,1.0.5,2023-05-18 07:18     13487,,https://repo1.maven.org/maven2/page/foliage/foliage-common-oidc/1.0.5/foliage-common-oidc-1.0.5.jar
,page.foliage,foliage-common-oidc,1.0.4,2023-02-21 08:01     13489,,https://repo1.maven.org/maven2/page/foliage/foliage-common-oidc/1.0.4/foliage-common-oidc-1.0.4.jar
,page.foliage,foliage-common-oidc,1.0.3,2023-02-14 10:21     13010,,https://repo1.maven.org/maven2/page/foliage/foliage-common-oidc/1.0.3/foliage-common-oidc-1.0.3.jar
,page.foliage,foliage-common-jdbc,1.0.5,2023-05-18 07:18   2709792,,https://repo1.maven.org/maven2/page/foliage/foliage-common-jdbc/1.0.5/foliage-common-jdbc-1.0.5.jar
,page.foliage,foliage-common-jdbc,1.0.4,2023-02-21 08:01   2709792,,https://repo1.maven.org/maven2/page/foliage/foliage-common-jdbc/1.0.4/foliage-common-jdbc-1.0.4.jar
,page.foliage,foliage-common-jdbc,1.0.3,2023-02-14 10:20   2709788,,https://repo1.maven.org/maven2/page/foliage/foliage-common-jdbc/1.0.3/foliage-common-jdbc-1.0.3.jar
,page.foliage,foliage-common-jdbc,1.0.2,2023-02-11 07:52   2709794,,https://repo1.maven.org/maven2/page/foliage/foliage-common-jdbc/1.0.2/foliage-common-jdbc-1.0.2.jar
,page.foliage,foliage-common-jdbc,1.0.1,2023-02-07 09:14   2709790,,https://repo1.maven.org/maven2/page/foliage/foliage-common-jdbc/1.0.1/foliage-common-jdbc-1.0.1.jar
,page.foliage,foliage-common-jdbc,1.0.0,2023-02-06 08:13   2709844,,https://repo1.maven.org/maven2/page/foliage/foliage-common-jdbc/1.0.0/foliage-common-jdbc-1.0.0.jar
,page.foliage,foliage-common-guava,23.6.1,2023-02-06 08:12   2755495,,https://repo1.maven.org/maven2/page/foliage/foliage-common-guava/23.6.1/foliage-common-guava-23.6.1.jar
,page.foliage,foliage-common-core,1.0.5,2023-05-18 07:17     71484,,https://repo1.maven.org/maven2/page/foliage/foliage-common-core/1.0.5/foliage-common-core-1.0.5.jar
,page.foliage,foliage-common-core,1.0.4,2023-02-21 08:00     71524,,https://repo1.maven.org/maven2/page/foliage/foliage-common-core/1.0.4/foliage-common-core-1.0.4.jar
,page.foliage,foliage-common-core,1.0.3,2023-02-14 10:19     71526,,https://repo1.maven.org/maven2/page/foliage/foliage-common-core/1.0.3/foliage-common-core-1.0.3.jar
,page.foliage,foliage-common-core,1.0.2,2023-02-11 07:51     76724,,https://repo1.maven.org/maven2/page/foliage/foliage-common-core/1.0.2/foliage-common-core-1.0.2.jar
,page.foliage,foliage-common-core,1.0.1,2023-02-07 09:13     76727,,https://repo1.maven.org/maven2/page/foliage/foliage-common-core/1.0.1/foliage-common-core-1.0.1.jar
,page.foliage,foliage-common-core,1.0.0,2023-02-06 08:13     76799,,https://repo1.maven.org/maven2/page/foliage/foliage-common-core/1.0.0/foliage-common-core-1.0.0.jar
,party.para,spring-boot-nbt,1.1.1,2021-11-22 07:58      2408,,https://repo1.maven.org/maven2/party/para/spring-boot-nbt/1.1.1/spring-boot-nbt-1.1.1.jar
,party.para,spring-boot-nbt,1.1.0,2021-11-22 06:10      2408,,https://repo1.maven.org/maven2/party/para/spring-boot-nbt/1.1.0/spring-boot-nbt-1.1.0.jar
,party.para,spring-boot-nbt,1.0.0,2021-11-21 15:33      2409,,https://repo1.maven.org/maven2/party/para/spring-boot-nbt/1.0.0/spring-boot-nbt-1.0.0.jar
,party.para,jackson-nbt,1.1.0,2021-11-22 06:10     24735,,https://repo1.maven.org/maven2/party/para/jackson-nbt/1.1.0/jackson-nbt-1.1.0.jar
,party.para,jackson-nbt,1.0.0,2021-11-21 15:06     16666,,https://repo1.maven.org/maven2/party/para/jackson-nbt/1.0.0/jackson-nbt-1.0.0.jar
,party.liyin,BeanMapper,1.0.3,2021-02-21 13:24     12137,,https://repo1.maven.org/maven2/party/liyin/BeanMapper/1.0.3/BeanMapper-1.0.3.jar
,party.liyin,BeanMapper,1.0.2,2021-02-20 08:47     11969,,https://repo1.maven.org/maven2/party/liyin/BeanMapper/1.0.2/BeanMapper-1.0.2.jar
,party.iroiro,reactor-locks,1.1.0,2022-08-20 04:35     24293,,https://repo1.maven.org/maven2/party/iroiro/reactor-locks/1.1.0/reactor-locks-1.1.0.jar
,party.iroiro,reactor-locks,1.0.0,2022-06-19 14:14     21498,,https://repo1.maven.org/maven2/party/iroiro/reactor-locks/1.0.0/reactor-locks-1.0.0.jar
