,activemq,activemq-transport-ssl,1.5,2005-09-20 05:44      3944,,https://repo1.maven.org/maven2/activemq/activemq-transport-ssl/1.5/activemq-transport-ssl-1.5.jar
,activemq,activemq-transport-ssl,1.4,2005-09-20 05:44      3944,,https://repo1.maven.org/maven2/activemq/activemq-transport-ssl/1.4/activemq-transport-ssl-1.4.jar
,activemq,activemq-transport-ssl,1.3,2005-09-20 05:44      3944,,https://repo1.maven.org/maven2/activemq/activemq-transport-ssl/1.3/activemq-transport-ssl-1.3.jar
,activemq,activemq-transport-ssl,1.2,2005-09-20 05:44      3944,,https://repo1.maven.org/maven2/activemq/activemq-transport-ssl/1.2/activemq-transport-ssl-1.2.jar
,activemq,activemq-transport-ssl,1.1-G1M3,2005-09-20 05:44      3949,,https://repo1.maven.org/maven2/activemq/activemq-transport-ssl/1.1-G1M3/activemq-transport-ssl-1.1-G1M3.jar
,activemq,activemq-transport-jxta,2.1,2005-09-20 05:44      7136,,https://repo1.maven.org/maven2/activemq/activemq-transport-jxta/2.1/activemq-transport-jxta-2.1.jar
,activemq,activemq-transport-jxta,2.0,2005-09-20 05:44      7135,,https://repo1.maven.org/maven2/activemq/activemq-transport-jxta/2.0/activemq-transport-jxta-2.0.jar
,activemq,activemq-transport-jxta,1.5,2005-09-20 05:44      7135,,https://repo1.maven.org/maven2/activemq/activemq-transport-jxta/1.5/activemq-transport-jxta-1.5.jar
,activemq,activemq-transport-jxta,1.4,2005-09-20 05:44      7135,,https://repo1.maven.org/maven2/activemq/activemq-transport-jxta/1.4/activemq-transport-jxta-1.4.jar
,activemq,activemq-transport-jxta,1.3,2005-09-20 05:44      7135,,https://repo1.maven.org/maven2/activemq/activemq-transport-jxta/1.3/activemq-transport-jxta-1.3.jar
,activemq,activemq-transport-jxta,1.2,2005-09-20 05:44      7135,,https://repo1.maven.org/maven2/activemq/activemq-transport-jxta/1.2/activemq-transport-jxta-1.2.jar
,activemq,activemq-transport-jxta,1.1-G1M3,2005-09-20 05:44      7139,,https://repo1.maven.org/maven2/activemq/activemq-transport-jxta/1.1-G1M3/activemq-transport-jxta-1.1-G1M3.jar
,activemq,activemq-transport-jrms,2.1,2005-09-20 05:44      8762,,https://repo1.maven.org/maven2/activemq/activemq-transport-jrms/2.1/activemq-transport-jrms-2.1.jar
,activemq,activemq-transport-jrms,2.0,2005-09-20 05:44      8762,,https://repo1.maven.org/maven2/activemq/activemq-transport-jrms/2.0/activemq-transport-jrms-2.0.jar
,activemq,activemq-transport-jrms,1.5,2005-09-20 05:44      8761,,https://repo1.maven.org/maven2/activemq/activemq-transport-jrms/1.5/activemq-transport-jrms-1.5.jar
,activemq,activemq-transport-jrms,1.4,2005-09-20 05:44      8761,,https://repo1.maven.org/maven2/activemq/activemq-transport-jrms/1.4/activemq-transport-jrms-1.4.jar
,activemq,activemq-transport-jrms,1.3,2005-09-20 05:44      8761,,https://repo1.maven.org/maven2/activemq/activemq-transport-jrms/1.3/activemq-transport-jrms-1.3.jar
,activemq,activemq-transport-jrms,1.2,2005-09-20 05:44      8761,,https://repo1.maven.org/maven2/activemq/activemq-transport-jrms/1.2/activemq-transport-jrms-1.2.jar
,activemq,activemq-transport-jrms,1.1-G1M3,2005-09-20 05:44      8766,,https://repo1.maven.org/maven2/activemq/activemq-transport-jrms/1.1-G1M3/activemq-transport-jrms-1.1-G1M3.jar
,activemq,activemq-transport-jgroups,2.1,2005-09-20 05:44     10618,,https://repo1.maven.org/maven2/activemq/activemq-transport-jgroups/2.1/activemq-transport-jgroups-2.1.jar
,activemq,activemq-transport-jgroups,2.0,2005-09-20 05:44     10617,,https://repo1.maven.org/maven2/activemq/activemq-transport-jgroups/2.0/activemq-transport-jgroups-2.0.jar
,activemq,activemq-transport-jgroups,1.5,2005-09-20 05:44     10617,,https://repo1.maven.org/maven2/activemq/activemq-transport-jgroups/1.5/activemq-transport-jgroups-1.5.jar
,activemq,activemq-transport-jgroups,1.4,2005-09-20 05:44     10617,,https://repo1.maven.org/maven2/activemq/activemq-transport-jgroups/1.4/activemq-transport-jgroups-1.4.jar
,activemq,activemq-transport-jgroups,1.3,2005-09-20 05:44     10617,,https://repo1.maven.org/maven2/activemq/activemq-transport-jgroups/1.3/activemq-transport-jgroups-1.3.jar
